K-means_label,category,title,abstract
1,0,Channel Cycle Time: A New Measure of Short-term Fairness,"This paper puts forth a new metric, dubbed channel cycle time, to measure the
short-term fairness of communication networks. Channel cycle time characterizes
the average duration between two successful transmissions of a user, during
which all other users have successfully accessed the channel at least once.
Compared with existing short-term fairness measures, channel cycle time
provides a comprehensive picture of the transient behavior of communication
networks, and is a single real value that is easy to compute. To demonstrate
the effectiveness of our new approach, we analytically characterize the channel
cycle time of slotted Aloha and CSMA/CA. It is shown that CSMA/CA is a
short-term fairer protocol than slotted Aloha. Channel cycle time can serve as
a promising design principle for future communication networks, placing greater
emphasis on optimizing short-term behaviors like fairness, delay, and jitter."
0,0,Developing Multi-Agent Systems with Degrees of Neuro-Symbolic Integration [A Position Paper],"In this short position paper we highlight our ongoing work on verifiable
heterogeneous multi-agent systems and, in particular, the complex (and often
non-functional) issues that impact the choice of structure within each agent."
0,0,Terraforming -- Environment Manipulation during Disruptions for Multi-Agent Pickup and Delivery,"In automated warehouses, teams of mobile robots fulfill the packaging process
by transferring inventory pods to designated workstations while navigating
narrow aisles formed by tightly packed pods. This problem is typically modeled
as a Multi-Agent Pickup and Delivery (MAPD) problem, which is then solved by
repeatedly planning collision-free paths for agents on a fixed graph, as in the
Rolling-Horizon Collision Resolution (RHCR) algorithm. However, existing
approaches make the limiting assumption that agents are only allowed to move
pods that correspond to their current task, while considering the other pods as
stationary obstacles (even though all pods are movable). This behavior can
result in unnecessarily long paths which could otherwise be avoided by opening
additional corridors via pod manipulation. To this end, we explore the
implications of allowing agents the flexibility of dynamically relocating pods.
We call this new problem Terraforming MAPD (tMAPD) and develop an RHCR-based
approach to tackle it. As the extra flexibility of terraforming comes at a
significant computational cost, we utilize this capability judiciously by
identifying situations where it could make a significant impact on the solution
quality. In particular, we invoke terraforming in response to disruptions that
often occur in automated warehouses, e.g., when an item is dropped from a pod
or when agents malfunction. Empirically, using our approach for tMAPD, where
disruptions are modeled via a stochastic process, we improve throughput by over
10%, reduce the maximum service time (the difference between the drop-off time
and the pickup time of a pod) by more than 50%, without drastically increasing
the runtime, compared to the MAPD setting."
0,0,Learning Diverse Risk Preferences in Population-based Self-play,"Among the great successes of Reinforcement Learning (RL), self-play
algorithms play an essential role in solving competitive games. Current
self-play algorithms optimize the agent to maximize expected win-rates against
its current or historical copies, making it often stuck in the local optimum
and its strategy style simple and homogeneous. A possible solution is to
improve the diversity of policies, which helps the agent break the stalemate
and enhances its robustness when facing different opponents. However, enhancing
diversity in the self-play algorithms is not trivial. In this paper, we aim to
introduce diversity from the perspective that agents could have diverse risk
preferences in the face of uncertainty. Specifically, we design a novel
reinforcement learning algorithm called Risk-sensitive Proximal Policy
Optimization (RPPO), which smoothly interpolates between worst-case and
best-case policy learning and allows for policy learning with desired risk
preferences. Seamlessly integrating RPPO with population-based self-play,
agents in the population optimize dynamic risk-sensitive objectives with
experiences from playing against diverse opponents. Empirical results show that
our method achieves comparable or superior performance in competitive games and
that diverse modes of behaviors emerge. Our code is public online at
\url{https://github.com/Jackory/RPBT}."
0,0,Counterfactual Fairness Filter for Fair-Delay Multi-Robot Navigation,"Multi-robot navigation is the task of finding trajectories for a team of
robotic agents to reach their destinations as quickly as possible without
collisions. In this work, we introduce a new problem: fair-delay multi-robot
navigation, which aims not only to enable such efficient, safe travels but also
to equalize the travel delays among agents in terms of actual trajectories as
compared to the best possible trajectories. The learning of a navigation policy
to achieve this objective requires resolving a nontrivial credit assignment
problem with robotic agents having continuous action spaces. Hence, we
developed a new algorithm called Navigation with Counterfactual Fairness Filter
(NCF2). With NCF2, each agent performs counterfactual inference on whether it
can advance toward its goal or should stay still to let other agents go. Doing
so allows us to effectively address the aforementioned credit assignment
problem and improve fairness regarding travel delays while maintaining high
efficiency and safety. Our extensive experimental results in several
challenging multi-robot navigation environments demonstrate the greater
effectiveness of NCF2 as compared to state-of-the-art fairness-aware
multi-agent reinforcement learning methods. Our demo videos and code are
available on the project webpage: https://omron-sinicx.github.io/ncf2/"
1,0,Self-Agreement: A Framework for Fine-tuning Language Models to Find Agreement among Diverse Opinions,"Finding an agreement among diverse opinions is a challenging topic in
multiagent systems. Recently, large language models (LLMs) have shown great
potential in addressing this challenge due to their remarkable capabilities in
comprehending human opinions and generating human-like text. However, they
typically rely on extensive human-annotated data. In this paper, we propose
Self-Agreement, a novel framework for fine-tuning LLMs to autonomously find
agreement using data generated by LLM itself. Specifically, our approach
employs the generative pre-trained transformer-3 (GPT-3) to generate multiple
opinions for each question in a question dataset and create several agreement
candidates among these opinions. Then, a bidirectional encoder representations
from transformers (BERT)-based model evaluates the agreement score of each
agreement candidate and selects the one with the highest agreement score. This
process yields a dataset of question-opinion-agreements, which we use to
fine-tune a pre-trained LLM for discovering agreements among diverse opinions.
Remarkably, a pre-trained LLM fine-tuned by our Self-Agreement framework
achieves comparable performance to GPT-3 with only 1/25 of its parameters,
showcasing its ability to identify agreement among various opinions without the
need for human-annotated data."
0,0,Understanding the World to Solve Social Dilemmas Using Multi-Agent Reinforcement Learning,"Social dilemmas are situations where groups of individuals can benefit from
mutual cooperation but conflicting interests impede them from doing so. This
type of situations resembles many of humanity's most critical challenges, and
discovering mechanisms that facilitate the emergence of cooperative behaviors
is still an open problem. In this paper, we study the behavior of
self-interested rational agents that learn world models in a multi-agent
reinforcement learning (RL) setting and that coexist in environments where
social dilemmas can arise. Our simulation results show that groups of agents
endowed with world models outperform all the other tested ones when dealing
with scenarios where social dilemmas can arise. We exploit the world model
architecture to qualitatively assess the learnt dynamics and confirm that each
agent's world model is capable to encode information of the behavior of the
changing environment and the other agent's actions. This is the first work that
shows that world models facilitate the emergence of complex coordinated
behaviors that enable interacting agents to ``understand'' both environmental
and social dynamics."
0,0,Collective Reasoning for Safe Autonomous Systems,"Collaboration in multi-agent autonomous systems is critical to increase
performance while ensuring safety. However, due to heterogeneity of their
features in, e.g., perception qualities, some autonomous systems have to be
considered more trustworthy than others when contributing to collaboratively
build a common environmental model, especially under uncertainty. In this
paper, we introduce the idea of increasing the reliability of autonomous
systems by relying on collective intelligence. We borrow concepts from social
epistemology to exploit individual characteristics of autonomous systems, and
define and formalize at design rules for collective reasoning to achieve
collaboratively increased safety, trustworthiness and good decision making."
0,0,Constrained Environment Optimization for Prioritized Multi-Agent Navigation,"Traditional approaches to the design of multi-agent navigation algorithms
consider the environment as a fixed constraint, despite the influence of
spatial constraints on agents' performance. Yet hand-designing conducive
environment layouts is inefficient and potentially expensive. The goal of this
paper is to consider the environment as a decision variable in a system-level
optimization problem, where both agent performance and environment cost are
incorporated. Towards this end, we propose novel problems of unprioritized and
prioritized environment optimization, where the former considers agents
unbiasedly and the latter accounts for agent priorities. We show, through
formal proofs, under which conditions the environment can change while
guaranteeing completeness (i.e., all agents reach goals), and analyze the role
of agent priorities in the environment optimization. We proceed to impose
real-world constraints on the environment optimization and formulate it
mathematically as a constrained stochastic optimization problem. Since the
relation between agents, environment and performance is challenging to model,
we leverage reinforcement learning to develop a model-free solution and a
primal-dual mechanism to handle constraints. Distinct information processing
architectures are integrated for various implementation scenarios, including
online/offline optimization and discrete/continuous environment. Numerical
results corroborate the theory and demonstrate the validity and adaptability of
our approach."
1,0,Worst-Case VCG Redistribution Mechanism Design Based on the Lottery Ticket Hypothesis,"We study worst-case VCG redistribution mechanism design for the public
project problem. For VCG redistribution mechanisms, the mechanism design task
is only on setting the payments, subject to strategy-proofness and the
non-deficit constraint, while maximizing the worst-case allocative efficiency
ratio.
  We use a multilayer perceptron (MLP) with ReLU activation to model the
payment function. We use mixed integer programming (MIP) to solve for the
worst-case type profiles that maximally violate the mechanism design
constraints. We collect these worst-case type profiles and use them as training
samples to train toward better worst-case mechanisms.
  We require a tiny network structure for MIP to scale. The Lottery Ticket
Hypothesis states that a large network is likely to contain a winning ticket --
a much smaller subnetwork that won the initialization lottery, which makes its
training particularly effective. We train a large network and prune it into a
tiny subnetwork (i.e., draw a ticket). We run MIP-based worst-case training on
the drawn subnetwork and evaluate the training result's worst-case performance
(i.e., scratch the ticket). If the subnetwork can not achieve good worst-case
performance, then we record the type profiles that cause the current draw to be
bad. To draw again, we restore the large network to its initial weights and
prune using recorded type profiles from earlier draws (i.e., redraw from the
original ticket pot while avoiding drawing the same ticket twice). With a large
enough initial network and a large enough number of draws, we expect to
eventually encounter a tiny trainable subnetwork.
  We find an optimal mechanism for 3 agents that uses only 2 hidden nodes! We
also find previously unknown optimal mechanisms for 4 and 5 agents. For up to
20 agents, we derive significantly improved worst-case mechanisms compared to
existing manual results."
0,0,Sharing Lifelong Reinforcement Learning Knowledge via Modulating Masks,"Lifelong learning agents aim to learn multiple tasks sequentially over a
lifetime. This involves the ability to exploit previous knowledge when learning
new tasks and to avoid forgetting. Modulating masks, a specific type of
parameter isolation approach, have recently shown promise in both supervised
and reinforcement learning. While lifelong learning algorithms have been
investigated mainly within a single-agent approach, a question remains on how
multiple agents can share lifelong learning knowledge with each other. We show
that the parameter isolation mechanism used by modulating masks is particularly
suitable for exchanging knowledge among agents in a distributed and
decentralized system of lifelong learners. The key idea is that the isolation
of specific task knowledge to specific masks allows agents to transfer only
specific knowledge on-demand, resulting in robust and effective distributed
lifelong learning. We assume fully distributed and asynchronous scenarios with
dynamic agent numbers and connectivity. An on-demand communication protocol
ensures agents query their peers for specific masks to be transferred and
integrated into their policies when facing each task. Experiments indicate that
on-demand mask communication is an effective way to implement distributed
lifelong reinforcement learning and provides a lifelong learning benefit with
respect to distributed RL baselines such as DD-PPO, IMPALA, and PPO+EWC. The
system is particularly robust to connection drops and demonstrates rapid
learning due to knowledge exchange."
1,0,Participatory Budgeting With Multiple Degrees of Projects And Ranged Approval Votes,"In an indivisible participatory budgeting (PB) framework, we have a limited
budget that is to be distributed among a set of projects, by aggregating the
preferences of voters for the projects. All the prior work on indivisible PB
assumes that each project has only one possible cost. In this work, we let each
project have a set of permissible costs, each reflecting a possible degree of
sophistication of the project. Each voter approves a range of costs for each
project, by giving an upper and lower bound on the cost that she thinks the
project deserves. The outcome of a PB rule selects a subset of projects and
also specifies their corresponding costs. We study different utility notions
and prove that the existing positive results when every project has exactly one
permissible cost can also be extended to our framework where a project has
several permissible costs. We also analyze the fixed parameter tractability of
the problem. Finally, we propose some important and intuitive axioms and
analyze their satisfiability by different PB rules. We conclude by making some
crucial remarks."
0,0,TPMDP: Threshold Personalized Multi-party Differential Privacy via Optimal Gaussian Mechanism,"In modern distributed computing applications, such as federated learning and
AIoT systems, protecting privacy is crucial to prevent misbehaving parties from
colluding to steal others' private information. However, guaranteeing the
utility of computation outcomes while protecting all parties' privacy can be
challenging, particularly when the parties' privacy requirements are highly
heterogeneous. In this paper, we propose a novel privacy framework for
multi-party computation called Threshold Personalized Multi-party Differential
Privacy (TPMDP), which addresses a limited number of semi-honest colluding
adversaries. Our framework enables each party to have a personalized privacy
budget. We design a multi-party Gaussian mechanism that is easy to implement
and satisfies TPMDP, wherein each party perturbs the computation outcome in a
secure multi-party computation protocol using Gaussian noise. To optimize the
utility of the mechanism, we cast the utility loss minimization problem into a
linear programming (LP) problem. We exploit the specific structure of this LP
problem to compute the optimal solution after O(n) computations, where n is the
number of parties, while a generic solver may require exponentially many
computations. Extensive experiments demonstrate the benefits of our approach in
terms of low utility loss and high efficiency compared to existing private
mechanisms that do not consider personalized privacy requirements or collusion
thresholds."
